#Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
217.00	0.52722	1177.0	0.00084962	3.5378	3.5575	23.104	42.869	86.002	972.89	-0.14287	254.89	0.18009	0.017058	liquid
218.00	0.55042	1173.4	0.00085223	3.6232	3.6439	23.497	42.806	86.108	965.66	-0.13929	250.51	0.17877	0.016808	liquid
219.00	0.57439	1169.8	0.00085486	3.7087	3.7303	23.888	42.744	86.220	958.43	-0.13560	246.21	0.17746	0.016559	liquid
220.00	0.59913	1166.1	0.00085753	3.7943	3.8169	24.279	42.682	86.338	951.21	-0.13180	242.01	0.17615	0.016310	liquid
221.00	0.62467	1162.5	0.00086023	3.8799	3.9036	24.667	42.621	86.462	944.00	-0.12788	237.88	0.17485	0.016062	liquid
222.00	0.65102	1158.8	0.00086295	3.9657	3.9904	25.055	42.560	86.592	936.79	-0.12386	233.84	0.17355	0.015815	liquid
223.00	0.67819	1155.1	0.00086571	4.0515	4.0773	25.441	42.501	86.729	929.58	-0.11971	229.88	0.17225	0.015569	liquid
224.00	0.70621	1151.4	0.00086851	4.1374	4.1644	25.826	42.442	86.873	922.37	-0.11544	226.00	0.17096	0.015324	liquid
225.00	0.73509	1147.7	0.00087133	4.2235	4.2517	26.209	42.383	87.024	915.16	-0.11104	222.19	0.16967	0.015080	liquid
226.00	0.76484	1143.9	0.00087419	4.3096	4.3390	26.592	42.326	87.181	907.95	-0.10651	218.46	0.16838	0.014836	liquid
227.00	0.79548	1140.1	0.00087708	4.3959	4.4266	26.973	42.269	87.346	900.74	-0.10185	214.80	0.16710	0.014594	liquid
228.00	0.82703	1136.3	0.00088001	4.4823	4.5143	27.353	42.213	87.518	893.53	-0.097044	211.21	0.16583	0.014352	liquid
229.00	0.85950	1132.5	0.00088298	4.5688	4.6022	27.732	42.157	87.698	886.31	-0.092094	207.69	0.16455	0.014111	liquid
230.00	0.89291	1128.7	0.00088599	4.6554	4.6902	28.110	42.103	87.886	879.09	-0.086994	204.23	0.16328	0.013871	liquid
231.00	0.92728	1124.8	0.00088903	4.7422	4.7785	28.487	42.049	88.082	871.86	-0.081739	200.84	0.16201	0.013632	liquid
232.00	0.96262	1120.9	0.00089212	4.8291	4.8669	28.863	41.996	88.287	864.63	-0.076323	197.51	0.16075	0.013394	liquid
233.00	0.99896	1117.0	0.00089524	4.9162	4.9555	29.238	41.944	88.500	857.39	-0.070741	194.24	0.15949	0.013157	liquid
234.00	1.0363	1113.1	0.00089841	5.0034	5.0443	29.612	41.893	88.722	850.14	-0.064986	191.03	0.15823	0.012920	liquid
235.00	1.0747	1109.1	0.00090162	5.0908	5.1334	29.986	41.843	88.954	842.88	-0.059053	187.88	0.15698	0.012685	liquid
236.00	1.1141	1105.1	0.00090488	5.1783	5.2227	30.358	41.793	89.195	835.61	-0.052934	184.79	0.15572	0.012451	liquid
237.00	1.1545	1101.1	0.00090818	5.2660	5.3122	30.730	41.745	89.446	828.32	-0.046622	181.75	0.15448	0.012217	liquid
238.00	1.1961	1097.1	0.00091153	5.3539	5.4019	31.101	41.697	89.707	821.02	-0.040110	178.77	0.15323	0.011985	liquid
239.00	1.2387	1093.0	0.00091493	5.4420	5.4919	31.471	41.650	89.980	813.71	-0.033390	175.84	0.15199	0.011753	liquid
240.00	1.2825	1088.9	0.00091838	5.5303	5.5821	31.840	41.605	90.263	806.38	-0.026454	172.96	0.15075	0.011523	liquid
241.00	1.3274	1084.7	0.00092189	5.6188	5.6726	32.209	41.560	90.559	799.03	-0.019292	170.13	0.14951	0.011293	liquid
242.00	1.3734	1080.6	0.00092544	5.7075	5.7634	32.577	41.517	90.866	791.67	-0.011895	167.35	0.14827	0.011065	liquid
243.00	1.4206	1076.4	0.00092905	5.7964	5.8545	32.945	41.474	91.186	784.28	-0.0042536	164.62	0.14704	0.010837	liquid
244.00	1.4690	1072.1	0.00093272	5.8855	5.9458	33.312	41.433	91.519	776.87	0.0036438	161.94	0.14581	0.010611	liquid
245.00	1.5185	1067.9	0.00093645	5.9749	6.0375	33.678	41.393	91.866	769.44	0.011808	159.30	0.14458	0.010385	liquid
246.00	1.5693	1063.6	0.00094024	6.0645	6.1294	34.044	41.354	92.228	761.97	0.020252	156.70	0.14336	0.010161	liquid
247.00	1.6214	1059.2	0.00094409	6.1544	6.2217	34.410	41.316	92.604	754.48	0.028988	154.15	0.14213	0.0099380	liquid
248.00	1.6746	1054.8	0.00094801	6.2445	6.3144	34.775	41.280	92.996	746.95	0.038029	151.64	0.14091	0.0097158	liquid
249.00	1.7292	1050.4	0.00095199	6.3349	6.4074	35.140	41.245	93.405	739.39	0.047390	149.17	0.13969	0.0094948	liquid
250.00	1.7850	1046.0	0.00095605	6.4256	6.5007	35.505	41.212	93.831	731.78	0.057087	146.74	0.13847	0.0092749	liquid
251.00	1.8422	1041.5	0.00096018	6.5166	6.5944	35.869	41.181	94.275	724.14	0.067136	144.34	0.13725	0.0090562	liquid
252.00	1.9007	1036.9	0.00096438	6.6079	6.6885	36.234	41.152	94.738	716.44	0.077553	141.99	0.13604	0.0088386	liquid
253.00	1.9605	1032.4	0.00096866	6.6994	6.7830	36.598	41.125	95.221	708.69	0.088358	139.67	0.13482	0.0086221	liquid
254.00	2.0217	1027.7	0.00097303	6.7914	6.8780	36.962	41.101	95.725	700.88	0.099570	137.39	0.13361	0.0084069	liquid
255.00	2.0843	1023.0	0.00097748	6.8836	6.9733	37.326	41.079	96.251	693.01	0.11121	135.14	0.13240	0.0081928	liquid
256.00	2.1483	1018.3	0.00098201	6.9763	7.0691	37.690	41.061	96.800	685.08	0.12330	132.93	0.13119	0.0079800	liquid
257.00	2.2138	1013.5	0.00098664	7.0692	7.1654	38.055	41.047	97.374	677.07	0.13586	130.75	0.12998	0.0077683	liquid
258.00	2.2806	1008.7	0.00099136	7.1626	7.2621	38.419	41.036	97.974	668.99	0.14891	128.61	0.12877	0.0075580	liquid
259.00	2.3490	1003.8	0.00099619	7.2564	7.3593	38.784	41.030	98.601	660.83	0.16250	126.49	0.12756	0.0073489	liquid
260.00	2.4188	998.89	0.0010011	7.3505	7.4571	39.148	41.029	99.258	652.58	0.17663	124.40	0.12635	0.0071411	liquid
261.00	2.4901	993.89	0.0010062	7.4451	7.5554	39.514	41.033	99.946	644.25	0.19134	122.35	0.12514	0.0069346	liquid
262.00	2.5630	988.83	0.0010113	7.5402	7.6542	39.879	41.043	100.67	635.84	0.20667	120.32	0.12393	0.0067295	liquid
263.00	2.6374	983.70	0.0010166	7.6357	7.7537	40.245	41.058	101.42	627.34	0.22265	118.32	0.12272	0.0065257	liquid
264.00	2.7134	978.51	0.0010220	7.7317	7.8537	40.612	41.080	102.22	618.75	0.23932	116.34	0.12152	0.0063233	liquid
265.00	2.7909	973.25	0.0010275	7.8282	7.9544	40.979	41.109	103.06	610.07	0.25672	114.40	0.12031	0.0061223	liquid
266.00	2.8701	967.92	0.0010331	7.9252	8.0557	41.348	41.144	103.94	601.31	0.27489	112.48	0.11910	0.0059228	liquid
267.00	2.9509	962.52	0.0010389	8.0227	8.1577	41.716	41.186	104.86	592.46	0.29389	110.58	0.11789	0.0057247	liquid
268.00	3.0334	957.04	0.0010449	8.1209	8.2604	42.086	41.234	105.84	583.54	0.31376	108.70	0.11668	0.0055281	liquid
269.00	3.1175	951.48	0.0010510	8.2196	8.3638	42.457	41.289	106.88	574.54	0.33457	106.85	0.11547	0.0053330	liquid
270.00	3.2033	945.83	0.0010573	8.3190	8.4681	42.829	41.351	107.98	565.46	0.35639	105.02	0.11425	0.0051394	liquid
271.00	3.2909	940.09	0.0010637	8.4191	8.5731	43.202	41.419	109.14	556.32	0.37927	103.22	0.11304	0.0049475	liquid
272.00	3.3802	934.26	0.0010704	8.5198	8.6790	43.577	41.494	110.37	547.11	0.40331	101.43	0.11183	0.0047571	liquid
273.00	3.4713	928.33	0.0010772	8.6213	8.7859	43.953	41.574	111.68	537.84	0.42859	99.658	0.11061	0.0045684	liquid
274.00	3.5642	922.30	0.0010842	8.7235	8.8936	44.331	41.659	113.08	528.51	0.45519	97.907	0.10939	0.0043814	liquid
275.00	3.6589	916.16	0.0010915	8.8266	9.0024	44.711	41.750	114.57	519.14	0.48324	96.174	0.10817	0.0041961	liquid
276.00	3.7555	909.90	0.0010990	8.9305	9.1122	45.092	41.845	116.17	509.71	0.51284	94.457	0.10695	0.0040126	liquid
277.00	3.8539	903.52	0.0011068	9.0354	9.2231	45.476	41.945	117.88	500.23	0.54412	92.756	0.10572	0.0038310	liquid
278.00	3.9542	897.02	0.0011148	9.1412	9.3352	45.863	42.049	119.72	490.72	0.57723	91.068	0.10449	0.0036511	liquid
