#Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
217.00	0.52722	13.995	0.071452	17.291	18.949	94.033	27.742	40.102	222.83	26.040	10.973	0.011047	vapor
218.00	0.55042	14.584	0.068571	17.304	18.965	93.779	27.866	40.376	222.94	25.714	11.027	0.011131	vapor
219.00	0.57439	15.191	0.065830	17.317	18.981	93.526	27.992	40.656	223.05	25.396	11.081	0.011216	vapor
220.00	0.59913	15.817	0.063221	17.329	18.996	93.276	28.120	40.943	223.15	25.084	11.135	0.011301	vapor
221.00	0.62467	16.464	0.060738	17.341	19.011	93.028	28.249	41.238	223.23	24.779	11.190	0.011388	vapor
222.00	0.65102	17.131	0.058372	17.353	19.026	92.782	28.380	41.539	223.31	24.480	11.244	0.011475	vapor
223.00	0.67819	17.820	0.056118	17.365	19.040	92.537	28.512	41.848	223.38	24.186	11.299	0.011564	vapor
224.00	0.70621	18.530	0.053968	17.376	19.054	92.295	28.646	42.165	223.44	23.899	11.354	0.011654	vapor
225.00	0.73509	19.261	0.051917	17.387	19.067	92.055	28.782	42.489	223.49	23.617	11.409	0.011745	vapor
226.00	0.76484	20.016	0.049960	17.398	19.080	91.816	28.920	42.822	223.52	23.341	11.465	0.011838	vapor
227.00	0.79548	20.794	0.048092	17.409	19.092	91.579	29.059	43.164	223.55	23.070	11.521	0.011932	vapor
228.00	0.82703	21.595	0.046307	17.419	19.104	91.344	29.200	43.515	223.57	22.805	11.576	0.012027	vapor
229.00	0.85950	22.421	0.044602	17.429	19.116	91.110	29.343	43.875	223.58	22.544	11.633	0.012123	vapor
230.00	0.89291	23.271	0.042971	17.438	19.127	90.878	29.488	44.244	223.57	22.288	11.689	0.012221	vapor
231.00	0.92728	24.147	0.041412	17.447	19.137	90.647	29.635	44.623	223.56	22.037	11.746	0.012321	vapor
232.00	0.96262	25.050	0.039920	17.456	19.147	90.417	29.783	45.013	223.54	21.790	11.803	0.012422	vapor
233.00	0.99896	25.979	0.038493	17.465	19.157	90.189	29.934	45.414	223.50	21.548	11.860	0.012525	vapor
234.00	1.0363	26.936	0.037125	17.473	19.166	89.962	30.086	45.825	223.46	21.311	11.918	0.012629	vapor
