# column 1: dameter d [A]
# column 2: Connoly distribution
# column 3: PSD
# value at d=0 is void-fraction
0.01 0.778 -0
0.03 0.778 -0
0.05 0.778 -0
0.07 0.778 -0
0.09 0.778 -0
0.11 0.778 -0
0.13 0.778 -0
0.15 0.778 -0
0.17 0.778 -0
0.19 0.778 -0
0.21 0.778 0.005
0.23 0.7779 0.01
0.25 0.7778 0.01
0.27 0.7777 0.01
0.29 0.7776 0.005
0.31 0.7776 -0
0.33 0.7776 -0
0.35 0.7776 -0
0.37 0.7776 0.01
0.39 0.7774 0.01
0.41 0.7774 -0
0.43 0.7774 0.005
0.45 0.7773 0.02
0.47 0.777 0.015
0.49 0.777 0.005
0.51 0.7769 0.015
0.53 0.7767 0.01
0.55 0.7767 0.005
0.57 0.7766 0.015
0.59 0.7764 0.025
0.61 0.7761 0.025
0.63 0.7759 0.025
0.65 0.7756 0.02
0.67 0.7755 0.015
0.69 0.7753 0.01
0.71 0.7753 0.01
0.73 0.7751 0.01
0.75 0.7751 -0
0.77 0.7751 0.005
0.79 0.775 0.01
0.81 0.7749 0.015
0.83 0.7747 0.015
0.85 0.7746 0.02
0.87 0.7743 0.02
0.89 0.7742 0.005
0.91 0.7742 0.005
0.93 0.7741 0.025
0.95 0.7737 0.02
0.97 0.7737 -0
0.99 0.7737 -0
1.01 0.7737 0.015
1.03 0.7734 0.02
1.05 0.7733 0.01
1.07 0.7732 0.005
1.09 0.7732 0.005
1.11 0.7731 0.01
1.13 0.773 0.015
1.15 0.7728 0.015
1.17 0.7727 0.01
1.19 0.7726 0.015
1.21 0.7724 0.01
1.23 0.7724 0.005
1.25 0.7723 0.02
1.27 0.772 0.02
1.29 0.7719 0.01
1.31 0.7718 0.025
1.33 0.7714 0.02
1.35 0.7714 -0
1.37 0.7714 0.01
1.39 0.7712 0.01
1.41 0.7712 -0
1.43 0.7712 0.005
1.45 0.7711 0.01
1.47 0.771 0.03
1.49 0.7705 0.035
1.51 0.7703 0.02
1.53 0.7701 0.025
1.55 0.7698 0.03
1.57 0.7695 0.02
1.59 0.7694 0.01
1.61 0.7693 0.015
1.63 0.7691 0.025
1.65 0.7688 0.02
1.67 0.7687 0.02
1.69 0.7684 0.025
1.71 0.7682 0.015
1.73 0.7681 0.015
1.75 0.7679 0.01
1.77 0.7679 0.01
1.79 0.7677 0.02
1.81 0.7675 0.025
1.83 0.7672 0.015
1.85 0.7672 -0
1.87 0.7672 0.015
1.89 0.7669 0.03
1.91 0.7666 0.02
1.93 0.7665 0.015
1.95 0.7663 0.01
1.97 0.7663 0.005
1.99 0.7662 0.01
2.01 0.7661 0.015
2.03 0.7659 0.015
2.05 0.7658 0.01
2.07 0.7657 0.01
2.09 0.7656 0.01
2.11 0.7655 0.025
2.13 0.7651 0.03
2.15 0.7649 0.04
2.17 0.7643 0.045
2.19 0.764 0.02
2.21 0.7639 0.01
2.23 0.7638 0.03
2.25 0.7633 0.04
2.27 0.763 0.035
2.29 0.7626 0.04
2.31 0.7622 0.045
2.33 0.7617 0.035
2.35 0.7615 0.02
2.37 0.7613 0.02
2.39 0.7611 0.015
2.41 0.761 0.03
2.43 0.7605 0.035
2.45 0.7603 0.02
2.47 0.7601 0.04
2.49 0.7595 0.04
2.51 0.7593 0.02
2.53 0.7591 0.025
2.55 0.7588 0.03
2.57 0.7585 0.03
2.59 0.7582 0.02
2.61 0.7581 0.015
2.63 0.7579 0.015
2.65 0.7578 0.02
2.67 0.7575 0.04
2.69 0.757 0.05
2.71 0.7565 0.045
2.73 0.7561 0.035
2.75 0.7558 0.03
2.77 0.7555 0.03
2.79 0.7552 0.03
2.81 0.7549 0.03
2.83 0.7546 0.025
2.85 0.7544 0.035
2.87 0.7539 0.06
2.89 0.7532 0.045
2.91 0.753 0.025
2.93 0.7527 0.025
2.95 0.7525 0.025
2.97 0.7522 0.045
2.99 0.7516 0.045
3.01 0.7513 0.035
3.03 0.7509 0.03
3.05 0.7507 0.04
3.07 0.7501 0.05
3.09 0.7497 0.04
3.11 0.7493 0.035
3.13 0.749 0.04
3.15 0.7485 0.055
3.17 0.7479 0.05
3.19 0.7475 0.075
3.21 0.7464 0.07
3.23 0.7461 0.04
3.25 0.7456 0.04
3.27 0.7453 0.045
3.29 0.7447 0.055
3.31 0.7442 0.045
3.33 0.7438 0.04
3.35 0.7434 0.04
3.37 0.743 0.055
3.39 0.7423 0.05
3.41 0.742 0.03
3.43 0.7417 0.045
3.45 0.7411 0.05
3.47 0.7407 0.055
3.49 0.74 0.065
3.51 0.7394 0.035
3.53 0.7393 0.04
3.55 0.7386 0.055
3.57 0.7382 0.04
3.59 0.7378 0.06
3.61 0.737 0.06
3.63 0.7366 0.045
3.65 0.7361 0.03
3.67 0.736 0.03
3.69 0.7355 0.035
3.71 0.7353 0.05
3.73 0.7345 0.06
3.75 0.7341 0.045
3.77 0.7336 0.03
3.79 0.7335 0.015
3.81 0.7333 0.025
3.83 0.733 0.02
3.85 0.7329 0.045
3.87 0.7321 0.04
3.89 0.7321 0.01
3.91 0.7319 0.03
3.93 0.7315 0.03
3.95 0.7313 0.015
3.97 0.7312 0.02
3.99 0.7309 0.03
4.01 0.7306 0.045
4.03 0.73 0.04
4.05 0.7298 0.025
4.07 0.7295 0.015
4.09 0.7295 0.025
4.11 0.729 0.03
4.13 0.7289 0.025
4.15 0.7285 0.035
4.17 0.7282 0.02
4.19 0.7281 0.025
4.21 0.7277 0.035
4.23 0.7274 0.04
4.25 0.7269 0.045
4.27 0.7265 0.05
4.29 0.7259 0.04
4.31 0.7257 0.01
4.33 0.7257 0.01
4.35 0.7255 0.04
4.37 0.7249 0.035
4.39 0.7248 0.005
4.41 0.7248 0.01
4.43 0.7246 0.02
4.45 0.7244 0.03
4.47 0.724 0.03
4.49 0.7238 0.03
4.51 0.7234 0.03
4.53 0.7232 0.025
4.55 0.7229 0.045
4.57 0.7223 0.045
4.59 0.722 0.03
4.61 0.7217 0.02
4.63 0.7216 0.045
4.65 0.7208 0.06
4.67 0.7204 0.035
4.69 0.7201 0.025
4.71 0.7199 0.035
4.73 0.7194 0.05
4.75 0.7189 0.05
4.77 0.7184 0.05
4.79 0.7179 0.065
4.81 0.7171 0.06
4.83 0.7167 0.025
4.85 0.7166 0.03
4.87 0.7161 0.03
4.89 0.716 0.025
4.91 0.7156 0.04
4.93 0.7152 0.04
4.95 0.7148 0.025
4.97 0.7147 0.03
4.99 0.7142 0.045
5.01 0.7138 0.025
5.03 0.7137 0.03
5.05 0.7132 0.055
5.07 0.7126 0.035
5.09 0.7125 0.02
5.11 0.7122 0.02
5.13 0.7121 0.025
5.15 0.7117 0.035
5.17 0.7114 0.035
5.19 0.711 0.03
5.21 0.7108 0.03
5.23 0.7104 0.05
5.25 0.7098 0.045
5.27 0.7095 0.03
5.29 0.7092 0.045
5.31 0.7086 0.045
5.33 0.7083 0.03
5.35 0.708 0.035
5.37 0.7076 0.04
5.39 0.7072 0.035
5.41 0.7069 0.04
5.43 0.7064 0.04
