# 2-theta   d         h  k  l  Mult Lp          Scat. Factor    Intensity
  8.15213   0.09220 [  1,  1,  0]    4 392.85927   19095.2034914397   100.000000
 10.15550   0.11481 [  0, -2,  0]    2 252.33302   12463.1352238878    20.960908
 12.77464   0.14431 [  2,  0,  0]    2 158.63285   19920.9214232091    21.062565
 16.34589   0.18441 [  2,  2,  0]    4  96.01738    6846.4178238235     8.762983
 16.55216   0.18672 [ -1, -3,  0]    4  93.58434     752.8531645208     0.939187
 19.42690   0.21886 [  1,  1,  1]    4  67.33674    3118.6546741195     2.799356
 19.42690   0.21886 [ -1, -1, -1]    4  67.33674    3113.7825820502     2.794982
 19.88290   0.22395 [  3,  1,  0]    4  64.18546      18.2950672948     0.015653
 20.36341   0.22930 [  0, -2, -1]    2  61.09157   54299.5090031543    22.109855
 20.36341   0.22930 [  0, -2,  1]    2  61.09157   54284.1429178120    22.103599
 20.39187   0.22962 [  0, -4,  0]    2  60.91515   19628.6890906885     7.969394
 24.11157   0.27094 [ -2, -2, -1]    4  42.96836    5362.8552715273     3.071733
 24.11157   0.27094 [  2,  2,  1]    4  42.96836    5346.6784401242     3.062468
 24.13582   0.27120 [ -2, -4,  0]    4  42.87789   16523.3252475714     9.444295
 24.25415   0.27251 [ -1, -3, -1]    4  42.44033   30077.9249807671    17.016306
 24.25415   0.27251 [ -1, -3,  1]    4  42.44033   30117.0613685354    17.038447
 24.62486   0.27661 [  3,  3,  0]    4  41.11027   53023.1139298871    29.057233
 25.71159   0.28862 [  4,  0,  0]    2  37.53866   79720.9348513891    19.946184
 26.37674   0.29596 [ -1, -5,  0]    4  35.56802    2280.4632130210     1.081239
 26.67578   0.29925 [ -3, -1, -1]    4  34.72996    4446.0781021744     2.058354
 26.67578   0.29925 [  3,  1,  1]    4  34.72996    4411.3437197419     2.042273
 27.06348   0.30352 [  0, -4, -1]    2  33.68474    9219.7195373473     2.069949
 27.06348   0.30352 [  0, -4,  1]    2  33.68474    9292.4500329830     2.086278
 27.70881   0.31062 [  4,  2,  0]    4  32.04185    3485.9543929480     1.488943
 30.03151   0.33608 [ -2, -4, -1]    4  26.98514    2407.8341236681     0.866144
 30.03151   0.33608 [ -2, -4,  1]    4  26.98514    2383.1159445692     0.857252
 30.43245   0.34046 [ -3, -3, -1]    4  26.22831    3026.6097630666     1.058194
 30.43245   0.34046 [  3,  3,  1]    4  26.22831    2967.0265261553     1.037362
 30.79599   0.34443 [  0, -6,  0]    2  25.56770   12581.4440423692     2.144030
 31.89002   0.35636 [ -1, -5, -1]    4  23.71556     742.5370497845     0.234742
 31.89002   0.35636 [ -1, -5,  1]    4  23.71556     807.7579983325     0.255360
 32.17917   0.35950 [ -3, -5,  0]    4  23.25767    4411.1522415900     1.367593
 32.71398   0.36531 [  5,  1,  0]    4  22.44294    7751.7206713783     2.319084
 33.01860   0.36862 [ -4, -2, -1]    4  21.99669    2982.7503987696     0.874607
 33.01860   0.36862 [  4,  2,  1]    4  21.99669    2997.1535262205     0.878830
 33.03679   0.36882 [  4,  4,  0]    4  21.97045     883.0927750820     0.258633
 33.46290   0.37344 [ -2, -6,  0]    4  21.36785     395.6522909738     0.112697
 35.64078   0.39698 [  0,  0,  2]    1  18.62267   75642.7377027982     4.694485
 35.64078   0.39698 [  0,  0, -2]    1  18.62267   76998.4044972666     4.778620
 35.69178   0.39753 [  0, -6, -1]    2  18.56445    9027.1145627613     1.116966
 35.69178   0.39753 [  0, -6,  1]    2  18.56445    9088.7465770947     1.124592
 35.89971   0.39977 [  5,  3,  0]    4  18.32966    1053.6443365506     0.257447
 36.62269   0.40755 [ -1, -1, -2]    4  17.54475    3361.2177087832     0.786108
 36.62269   0.40755 [ -1, -1,  2]    4  17.54475    3202.8021252944     0.749059
 36.68910   0.40826 [ -1, -7,  0]    4  17.47502      47.3640900132     0.011033
 36.91205   0.41066 [ -3, -5, -1]    4  17.24372   13592.1519075559     3.124336
 36.91205   0.41066 [ -3, -5,  1]    4  17.24372   13924.1718379808     3.200655
 37.15362   0.41325 [  0, -2,  2]    2  16.99788    1591.0098717061     0.180250
 37.15362   0.41325 [  0, -2, -2]    2  16.99788    1380.7982210169     0.156435
 37.38718   0.41576 [  5,  1,  1]    4  16.76481    4276.7603111963     0.955768
 37.38718   0.41576 [ -5, -1, -1]    4  16.76481    4520.8218833080     1.010310
 37.67482   0.41884 [ -4, -4, -1]    4  16.48385    2781.3827082016     0.611165
 37.67482   0.41884 [  4,  4,  1]    4  16.48385    2898.0591023375     0.636802
 38.00719   0.42240 [ -2,  0, -2]    2  16.16729    2171.7103531164     0.234017
 38.00719   0.42240 [ -2,  0,  2]    2  16.16729    2167.9721625008     0.233614
 38.05545   0.42292 [ -2, -6, -1]    4  16.12203   11111.3738345201     2.387955
 38.05545   0.42292 [ -2, -6,  1]    4  16.12203   12213.9058108332     2.624901
 38.99273   0.43293 [  6,  0,  0]    2  15.27689    1099.8951035488     0.111994
 39.44215   0.43772 [  2,  2,  2]    4  14.89340     706.5256256139     0.140269
 39.44215   0.43772 [ -2, -2, -2]    4  14.89340     974.9573697269     0.193561
