# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.012000 0.000000 0.000000
1 0.036000 0.000000 0.000000
2 0.060000 0.000000 0.000000
3 0.084000 0.000000 0.000000
4 0.108000 0.000000 0.000000
5 0.132000 0.000000 0.000000
6 0.156000 0.000000 0.000000
7 0.180000 0.000000 0.000000
8 0.204000 0.000000 0.000000
9 0.228000 0.000000 0.000000
10 0.252000 0.000000 0.000000
11 0.276000 0.000000 0.000000
12 0.300000 0.000000 0.000000
13 0.324000 0.000000 0.000000
14 0.348000 0.000000 0.000000
15 0.372000 0.000000 0.000000
16 0.396000 0.000000 0.000000
17 0.420000 0.000000 0.000000
18 0.444000 0.000000 0.000000
19 0.468000 0.000000 0.000000
20 0.492000 0.000000 0.000000
21 0.516000 0.000000 0.000000
22 0.540000 0.000000 0.000000
23 0.564000 0.000000 0.000000
24 0.588000 0.000000 0.000000
25 0.612000 0.000000 0.000000
26 0.636000 0.000000 0.000000
27 0.660000 0.000000 0.000000
28 0.684000 0.000000 0.000000
29 0.708000 0.000000 0.000000
30 0.732000 0.000000 0.000000
31 0.756000 0.000000 0.000000
32 0.780000 0.000000 0.000000
33 0.804000 0.000000 0.000000
34 0.828000 0.000000 0.000000
35 0.852000 0.000000 0.000000
36 0.876000 0.000000 0.000000
37 0.900000 0.000000 0.000000
38 0.924000 0.000000 0.000000
39 0.948000 0.000000 0.000000
40 0.972000 0.000000 0.000000
41 0.996000 0.000000 0.000000
42 1.020000 0.000000 0.000000
43 1.044000 0.000000 0.000000
44 1.068000 0.000000 0.000000
45 1.092000 0.000000 0.000000
46 1.116000 0.000000 0.000000
47 1.140000 0.000000 0.000000
48 1.164000 0.000000 0.000000
49 1.188000 0.000000 0.000000
50 1.212000 0.000000 0.000000
51 1.236000 0.000000 0.000000
52 1.260000 0.000000 0.000000
53 1.284000 0.000015 0.000250
54 1.308000 0.000028 0.000500
55 1.332000 0.000030 0.000542
56 1.356000 0.000162 0.003083
57 1.380000 0.000182 0.003583
58 1.404000 0.000264 0.005375
59 1.428000 0.000364 0.007666
60 1.452000 0.000611 0.013291
61 1.476000 0.000806 0.018124
62 1.500000 0.001296 0.030082
63 1.524000 0.001688 0.040457
64 1.548000 0.002617 0.064706
65 1.572000 0.003765 0.095996
66 1.596000 0.004833 0.127036
67 1.620000 0.006919 0.187367
68 1.644000 0.008878 0.247615
69 1.668000 0.012431 0.356902
70 1.692000 0.016180 0.477980
71 1.716000 0.021238 0.645348
72 1.740000 0.027619 0.862881
73 1.764000 0.034917 1.121162
74 1.788000 0.043932 1.449273
75 1.812000 0.056286 1.907004
76 1.836000 0.069632 2.422107
77 1.860000 0.086663 3.093829
78 1.884000 0.109018 3.992959
79 1.908000 0.135994 5.108745
80 1.932000 0.167860 6.465439
81 1.956000 0.206893 8.168076
82 1.980000 0.257152 10.402942
83 2.004000 0.316139 13.101162
84 2.028000 0.384596 16.322153
85 2.052000 0.464133 20.166660
86 2.076000 0.554841 24.675139
87 2.100000 0.654722 29.794217
88 2.124000 0.759402 35.352277
89 2.148000 0.873442 41.585226
90 2.172000 0.981349 47.772676
91 2.196000 1.090005 54.241240
92 2.220000 1.188818 60.458564
93 2.244000 1.275693 66.286988
94 2.268000 1.346472 71.469355
95 2.292000 1.400676 75.928253
96 2.316000 1.437938 79.589142
97 2.340000 1.463081 82.667847
98 2.364000 1.475453 85.085746
99 2.388000 1.463867 86.140411
100 2.412000 1.443887 86.681097
101 2.436000 1.409316 86.297738
102 2.460000 1.370888 85.606891
103 2.484000 1.323732 84.282988
104 2.508000 1.275311 82.776593
105 2.532000 1.227485 81.204533
106 2.556000 1.174904 79.206450
107 2.580000 1.127634 77.454023
108 2.604000 1.082707 75.758177
109 2.628000 1.036292 73.853214
110 2.652000 0.997816 72.415941
111 2.676000 0.960921 71.006250
112 2.700000 0.926877 69.724595
113 2.724000 0.896876 68.672514
114 2.748000 0.870626 67.842465
115 2.772000 0.845773 67.062081
116 2.796000 0.831128 67.046915
117 2.820000 0.813502 66.756510
118 2.844000 0.801958 66.934086
119 2.868000 0.790897 67.129703
120 2.892000 0.783618 67.629724
121 2.916000 0.780462 68.479897
122 2.940000 0.782108 69.758635
123 2.964000 0.784215 71.093246
124 2.988000 0.787556 72.556935
125 3.012000 0.791289 74.076705
126 3.036000 0.798032 75.903254
127 3.060000 0.804502 77.733219
128 3.084000 0.816610 80.145619
129 3.108000 0.827331 82.466606
130 3.132000 0.840802 85.108704
131 3.156000 0.852890 87.660389
132 3.180000 0.866827 90.453064
133 3.204000 0.878589 93.069455
134 3.228000 0.896564 96.401775
135 3.252000 0.910659 99.378693
136 3.276000 0.926591 102.615349
137 3.300000 0.941849 105.839048
138 3.324000 0.959358 109.380317
139 3.348000 0.979333 113.276030
140 3.372000 0.995553 116.808883
141 3.396000 1.009426 120.128620
142 3.420000 1.029355 124.237865
143 3.444000 1.045067 127.910754
144 3.468000 1.060129 131.568976
145 3.492000 1.079422 135.823882
146 3.516000 1.093328 139.471272
147 3.540000 1.106828 143.127578
148 3.564000 1.121790 147.035874
149 3.588000 1.131512 150.314362
150 3.612000 1.140095 153.487563
151 3.636000 1.147720 156.574268
152 3.660000 1.149223 158.855839
153 3.684000 1.149761 161.021291
154 3.708000 1.149525 163.092704
155 3.732000 1.142680 164.226949
156 3.756000 1.137319 165.565518
157 3.780000 1.128720 166.420316
158 3.804000 1.119334 167.138786
159 3.828000 1.110108 167.859381
160 3.852000 1.098996 168.269489
161 3.876000 1.089644 168.923003
162 3.900000 1.078494 169.271364
163 3.924000 1.068775 169.816799
164 3.948000 1.059327 170.380901
165 3.972000 1.050088 170.954627
166 3.996000 1.043282 171.905254
167 4.020000 1.037149 172.953710
168 4.044000 1.030660 173.929878
169 4.068000 1.027165 175.403692
170 4.092000 1.023085 176.774468
171 4.116000 1.021093 178.505812
172 4.140000 1.019239 180.265697
173 4.164000 1.018702 182.265697
174 4.188000 1.017575 184.168868
175 4.212000 1.016636 186.113954
176 4.236000 1.018001 188.493563
177 4.260000 1.019303 190.879422
178 4.284000 1.021019 193.361152
179 4.308000 1.020062 195.350569
180 4.332000 1.021680 197.846465
181 4.356000 1.024468 200.590600
182 4.380000 1.027332 203.374151
183 4.404000 1.030080 206.158827
184 4.428000 1.030735 208.544519
185 4.452000 1.031305 210.927836
186 4.476000 1.032057 213.363652
187 4.500000 1.033213 215.899463
188 4.524000 1.034034 218.381776
189 4.548000 1.032756 220.432315
190 4.572000 1.035076 223.265197
191 4.596000 1.033782 225.333361
192 4.620000 1.033305 227.587809
