# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.012000 0.000000 0.000000
1 0.036000 0.000000 0.000000
2 0.060000 0.000000 0.000000
3 0.084000 0.000000 0.000000
4 0.108000 0.000000 0.000000
5 0.132000 0.000000 0.000000
6 0.156000 0.000000 0.000000
7 0.180000 0.000000 0.000000
8 0.204000 0.000000 0.000000
9 0.228000 0.000000 0.000000
10 0.252000 0.000000 0.000000
11 0.276000 0.000000 0.000000
12 0.300000 0.000000 0.000000
13 0.324000 0.000000 0.000000
14 0.348000 0.000000 0.000000
15 0.372000 0.000000 0.000000
16 0.396000 0.000000 0.000000
17 0.420000 0.000000 0.000000
18 0.444000 0.000000 0.000000
19 0.468000 0.000000 0.000000
20 0.492000 0.000000 0.000000
21 0.516000 0.000000 0.000000
22 0.540000 0.000000 0.000000
23 0.564000 0.000000 0.000000
24 0.588000 0.000000 0.000000
25 0.612000 0.000000 0.000000
26 0.636000 0.000000 0.000000
27 0.660000 0.000000 0.000000
28 0.684000 0.000000 0.000000
29 0.708000 0.000000 0.000000
30 0.732000 0.000000 0.000000
31 0.756000 0.000000 0.000000
32 0.780000 0.000000 0.000000
33 0.804000 0.000000 0.000000
34 0.828000 0.000000 0.000000
35 0.852000 0.000000 0.000000
36 0.876000 0.000000 0.000000
37 0.900000 0.000000 0.000000
38 0.924000 0.000000 0.000000
39 0.948000 0.000000 0.000000
40 0.972000 0.000000 0.000000
41 0.996000 0.000000 0.000000
42 1.020000 0.000000 0.000000
43 1.044000 0.000000 0.000000
44 1.068000 0.000000 0.000000
45 1.092000 0.000000 0.000000
46 1.116000 0.000000 0.000000
47 1.140000 0.000000 0.000000
48 1.164000 0.000000 0.000000
49 1.188000 0.000000 0.000000
50 1.212000 0.000000 0.000000
51 1.236000 0.000000 0.000000
52 1.260000 0.000000 0.000000
53 1.284000 0.000000 0.000000
54 1.308000 0.000000 0.000000
55 1.332000 0.000000 0.000000
56 1.356000 0.000000 0.000000
57 1.380000 0.000000 0.000000
58 1.404000 0.000029 0.000292
59 1.428000 0.000075 0.000792
60 1.452000 0.000855 0.009312
61 1.476000 0.003698 0.041602
62 1.500000 0.010927 0.126974
63 1.524000 0.029556 0.354527
64 1.548000 0.069489 0.859985
65 1.572000 0.136950 1.747823
66 1.596000 0.237946 3.130224
67 1.620000 0.377294 5.113766
68 1.644000 0.537084 7.496813
69 1.668000 0.717429 10.308654
70 1.692000 0.892073 13.189617
71 1.716000 1.048980 15.952648
72 1.740000 1.165457 18.223241
73 1.764000 1.251944 20.119308
74 1.788000 1.298526 21.439586
75 1.812000 1.313848 22.278822
76 1.836000 1.286750 22.401150
77 1.860000 1.241769 22.186951
78 1.884000 1.183292 21.691242
79 1.908000 1.109646 20.862777
80 1.932000 1.031975 19.893650
81 1.956000 0.955116 18.872297
82 1.980000 0.868962 17.593892
83 2.004000 0.784783 16.277051
84 2.028000 0.716069 15.209741
85 2.052000 0.653429 14.209679
86 2.076000 0.589091 13.111975
87 2.100000 0.535375 12.193471
88 2.124000 0.489374 11.402004
89 2.148000 0.448708 10.692096
90 2.172000 0.408997 9.964856
91 2.196000 0.373633 9.305529
92 2.220000 0.349195 8.888005
93 2.244000 0.326612 8.493938
94 2.268000 0.305279 8.109870
95 2.292000 0.288278 7.821174
96 2.316000 0.273787 7.584392
97 2.340000 0.264957 7.492688
98 2.364000 0.255032 7.360714
99 2.388000 0.250950 7.390734
100 2.412000 0.250257 7.519208
101 2.436000 0.249242 7.638473
102 2.460000 0.250219 7.820257
103 2.484000 0.253561 8.080101
104 2.508000 0.259658 8.435065
105 2.532000 0.266555 8.825611
106 2.556000 0.277383 9.359068
107 2.580000 0.293550 10.091413
108 2.604000 0.310402 10.870193
109 2.628000 0.331195 11.813133
110 2.652000 0.354887 12.890463
111 2.676000 0.383413 14.179805
112 2.700000 0.417997 15.737344
113 2.724000 0.454129 17.403004
114 2.748000 0.497996 19.421837
115 2.772000 0.544893 21.623620
116 2.796000 0.602830 24.338861
117 2.820000 0.665541 27.334028
118 2.844000 0.731345 30.550081
119 2.868000 0.803058 34.114266
120 2.892000 0.879903 38.006896
121 2.916000 0.959383 42.130640
122 2.940000 1.037182 46.299946
123 2.964000 1.117883 50.720532
124 2.988000 1.196387 55.165014
125 3.012000 1.266015 59.317070
126 3.036000 1.332874 63.448835
127 3.060000 1.393104 67.368547
128 3.084000 1.443428 70.901400
129 3.108000 1.486445 74.155202
130 3.132000 1.518771 76.942544
131 3.156000 1.537540 79.091767
132 3.180000 1.546921 80.789175
133 3.204000 1.549430 82.146265
134 3.228000 1.545207 83.154264
135 3.252000 1.535707 83.876484
136 3.276000 1.514978 83.970168
137 3.300000 1.492369 83.933440
138 3.324000 1.464248 83.554081
139 3.348000 1.429453 82.750719
140 3.372000 1.400681 82.251760
141 3.396000 1.371613 81.695471
142 3.420000 1.335136 80.650765
143 3.444000 1.300052 79.637578
144 3.468000 1.269986 78.883838
145 3.492000 1.244715 78.387963
146 3.516000 1.215057 77.575643
147 3.540000 1.186837 76.811883
148 3.564000 1.161196 76.174868
149 3.588000 1.137951 75.658764
150 3.612000 1.120178 75.476772
151 3.636000 1.104457 75.409712
152 3.660000 1.089118 75.347381
153 3.684000 1.077786 75.544456
154 3.708000 1.063758 75.535832
155 3.732000 1.056718 76.010416
156 3.756000 1.046726 76.263239
157 3.780000 1.039795 76.729490
158 3.804000 1.033275 77.219637
159 3.828000 1.027022 77.723887
160 3.852000 1.024555 78.512499
161 3.876000 1.022493 79.333861
162 3.900000 1.019722 80.101725
163 3.924000 1.015128 80.725303
164 3.948000 1.012515 81.505479
165 3.972000 1.011051 82.380151
166 3.996000 1.008426 83.162202
167 4.020000 1.007608 84.095850
168 4.044000 1.006409 85.001687
169 4.068000 1.002909 85.714533
170 4.092000 0.999857 86.464960
171 4.116000 1.000008 87.495375
172 4.140000 0.999240 88.450752
173 4.164000 0.995218 89.119078
174 4.188000 0.990895 89.757739
175 4.212000 0.988106 90.533853
176 4.236000 0.987046 91.470293
177 4.260000 0.982853 92.116766
178 4.284000 0.980723 92.955710
179 4.308000 0.979011 93.836048
180 4.332000 0.977603 94.748073
181 4.356000 0.974457 95.492479
182 4.380000 0.971596 96.264239
183 4.404000 0.970449 97.207137
184 4.428000 0.971015 98.326799
185 4.452000 0.970644 99.357589
186 4.476000 0.968903 100.251615
187 4.500000 0.967130 101.144161
188 4.524000 0.967814 102.298238
189 4.548000 0.967308 103.332444
190 4.572000 0.968264 104.529061
191 4.596000 0.965400 105.316966
192 4.620000 0.967351 106.634765
