# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.012000 0.000000 0.000000
1 0.036000 0.000000 0.000000
2 0.060000 0.000000 0.000000
3 0.084000 0.000000 0.000000
4 0.108000 0.000000 0.000000
5 0.132000 0.000000 0.000000
6 0.156000 0.000000 0.000000
7 0.180000 0.000000 0.000000
8 0.204000 0.000000 0.000000
9 0.228000 0.000000 0.000000
10 0.252000 0.000000 0.000000
11 0.276000 0.000000 0.000000
12 0.300000 0.000000 0.000000
13 0.324000 0.000000 0.000000
14 0.348000 0.000000 0.000000
15 0.372000 0.000000 0.000000
16 0.396000 0.000000 0.000000
17 0.420000 0.000000 0.000000
18 0.444000 0.000000 0.000000
19 0.468000 0.000000 0.000000
20 0.492000 0.000000 0.000000
21 0.516000 0.000000 0.000000
22 0.540000 0.000000 0.000000
23 0.564000 0.000000 0.000000
24 0.588000 0.000000 0.000000
25 0.612000 0.000000 0.000000
26 0.636000 0.000000 0.000000
27 0.660000 0.000000 0.000000
28 0.684000 0.000000 0.000000
29 0.708000 0.000000 0.000000
30 0.732000 0.000000 0.000000
31 0.756000 0.000000 0.000000
32 0.780000 0.000000 0.000000
33 0.804000 0.000000 0.000000
34 0.828000 0.000000 0.000000
35 0.852000 0.000000 0.000000
36 0.876000 0.000000 0.000000
37 0.900000 0.000000 0.000000
38 0.924000 0.000000 0.000000
39 0.948000 0.000000 0.000000
40 0.972000 0.000000 0.000000
41 0.996000 0.000000 0.000000
42 1.020000 0.000000 0.000000
43 1.044000 0.000000 0.000000
44 1.068000 0.000000 0.000000
45 1.092000 0.000000 0.000000
46 1.116000 0.000000 0.000000
47 1.140000 0.000000 0.000000
48 1.164000 0.000000 0.000000
49 1.188000 0.000000 0.000000
50 1.212000 0.000000 0.000000
51 1.236000 0.000000 0.000000
52 1.260000 0.000000 0.000000
53 1.284000 0.000000 0.000000
54 1.308000 0.000000 0.000000
55 1.332000 0.000000 0.000000
56 1.356000 0.000000 0.000000
57 1.380000 0.000000 0.000000
58 1.404000 0.000000 0.000000
59 1.428000 0.000000 0.000000
60 1.452000 0.000000 0.000000
61 1.476000 0.000000 0.000000
62 1.500000 0.000000 0.000000
63 1.524000 0.000000 0.000000
64 1.548000 0.000000 0.000000
65 1.572000 0.000000 0.000000
66 1.596000 0.000000 0.000000
67 1.620000 0.000000 0.000000
68 1.644000 0.000000 0.000000
69 1.668000 0.000000 0.000000
70 1.692000 0.000000 0.000000
71 1.716000 0.000000 0.000000
72 1.740000 0.000000 0.000000
73 1.764000 0.000000 0.000000
74 1.788000 0.000000 0.000000
75 1.812000 0.000000 0.000000
76 1.836000 0.000000 0.000000
77 1.860000 0.000000 0.000000
78 1.884000 0.000000 0.000000
79 1.908000 0.000000 0.000000
80 1.932000 0.000000 0.000000
81 1.956000 0.000000 0.000000
82 1.980000 0.000000 0.000000
83 2.004000 0.000000 0.000000
84 2.028000 0.000000 0.000000
85 2.052000 0.000000 0.000000
86 2.076000 0.000000 0.000000
87 2.100000 0.000000 0.000000
88 2.124000 0.000000 0.000000
89 2.148000 0.000000 0.000000
90 2.172000 0.000000 0.000000
91 2.196000 0.000000 0.000000
92 2.220000 0.000000 0.000000
93 2.244000 0.000000 0.000000
94 2.268000 0.000000 0.000000
95 2.292000 0.000000 0.000000
96 2.316000 0.000000 0.000000
97 2.340000 0.000024 0.000333
98 2.364000 0.000095 0.001375
99 2.388000 0.000655 0.009625
100 2.412000 0.004104 0.061539
101 2.436000 0.013469 0.205991
102 2.460000 0.042484 0.662597
103 2.484000 0.108118 1.719303
104 2.508000 0.239166 3.877088
105 2.532000 0.442062 7.304029
106 2.556000 0.731771 12.321070
107 2.580000 1.093386 18.757052
108 2.604000 1.499434 26.203617
109 2.628000 1.911189 34.017791
110 2.652000 2.259811 40.961043
111 2.676000 2.545442 46.977209
112 2.700000 2.742318 51.522520
113 2.724000 2.834257 54.200742
114 2.748000 2.842803 55.326361
115 2.772000 2.773159 54.917795
116 2.796000 2.676557 53.926545
117 2.820000 2.529747 51.847423
118 2.844000 2.340359 48.785801
119 2.868000 2.164734 45.889630
120 2.892000 1.996498 43.034540
121 2.916000 1.834305 40.197450
122 2.940000 1.662288 37.029915
123 2.964000 1.533466 34.720220
124 2.988000 1.419750 32.668180
125 3.012000 1.318238 30.821632
126 3.036000 1.220049 28.982292
127 3.060000 1.149599 27.742219
128 3.084000 1.079146 26.452148
129 3.108000 1.027107 25.569935
130 3.132000 0.984556 24.890630
131 3.156000 0.942860 24.203200
132 3.180000 0.906767 23.632057
133 3.204000 0.877404 23.213283
134 3.228000 0.857264 23.021499
135 3.252000 0.840010 22.894838
136 3.276000 0.830177 22.962043
137 3.300000 0.820552 23.029582
138 3.324000 0.821801 23.401317
139 3.348000 0.815830 23.567976
140 3.372000 0.812212 23.801050
141 3.396000 0.811532 24.120870
142 3.420000 0.815144 24.571893
143 3.444000 0.814086 24.885630
144 3.468000 0.823983 25.540436
145 3.492000 0.825183 25.932878
146 3.516000 0.825062 26.286696
147 3.540000 0.830774 26.831257
148 3.564000 0.842120 27.567726
149 3.588000 0.848917 28.165785
150 3.612000 0.858506 28.866256
151 3.636000 0.865024 29.473230
152 3.660000 0.878752 30.337528
153 3.684000 0.884514 30.938253
154 3.708000 0.895462 31.730595
155 3.732000 0.897999 32.233740
156 3.756000 0.911410 33.137286
157 3.780000 0.916477 33.748677
158 3.804000 0.934452 34.848965
159 3.828000 0.945638 35.712512
160 3.852000 0.958975 36.671764
161 3.876000 0.961505 37.228115
162 3.900000 0.974625 38.204866
163 3.924000 0.987234 39.176868
164 3.948000 1.003835 40.324445
165 3.972000 1.013922 41.226366
166 3.996000 1.014908 41.766635
167 4.020000 1.023600 42.631849
168 4.044000 1.032414 43.513895
169 4.068000 1.043273 44.495063
170 4.092000 1.054035 45.486021
171 4.116000 1.063872 46.450648
172 4.140000 1.072060 47.355610
173 4.164000 1.077904 48.167410
174 4.188000 1.084981 49.044165
175 4.212000 1.098174 50.211075
176 4.236000 1.100552 50.894921
177 4.260000 1.111269 51.974501
178 4.284000 1.118675 52.912045
179 4.308000 1.111540 53.165326
180 4.332000 1.109723 53.671430
181 4.356000 1.113579 54.456356
182 4.380000 1.119853 55.368276
183 4.404000 1.119891 55.978626
184 4.428000 1.133551 57.280697
185 4.452000 1.127097 57.573601
186 4.476000 1.128158 58.250781
187 4.500000 1.126960 58.814633
188 4.524000 1.125789 59.381901
189 4.548000 1.129407 60.206491
190 4.572000 1.122154 60.452814
191 4.596000 1.120394 60.993375
192 4.620000 1.115102 61.340944
