# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.012000 nan 0.000000
1 0.036000 nan 0.000000
2 0.060000 nan 0.000000
3 0.084000 nan 0.000000
4 0.108000 nan 0.000000
5 0.132000 nan 0.000000
6 0.156000 nan 0.000000
7 0.180000 nan 0.000000
8 0.204000 nan 0.000000
9 0.228000 nan 0.000000
10 0.252000 nan 0.000000
11 0.276000 nan 0.000000
12 0.300000 nan 0.000000
13 0.324000 nan 0.000000
14 0.348000 nan 0.000000
15 0.372000 nan 0.000000
16 0.396000 nan 0.000000
17 0.420000 nan 0.000000
18 0.444000 nan 0.000000
19 0.468000 nan 0.000000
20 0.492000 nan 0.000000
21 0.516000 nan 0.000000
22 0.540000 nan 0.000000
23 0.564000 nan 0.000000
24 0.588000 nan 0.000000
25 0.612000 nan 0.000000
26 0.636000 nan 0.000000
27 0.660000 nan 0.000000
28 0.684000 nan 0.000000
29 0.708000 nan 0.000000
30 0.732000 nan 0.000000
31 0.756000 nan 0.000000
32 0.780000 nan 0.000000
33 0.804000 nan 0.000000
34 0.828000 nan 0.000000
35 0.852000 nan 0.000000
36 0.876000 nan 0.000000
37 0.900000 nan 0.000000
38 0.924000 nan 0.000000
39 0.948000 nan 0.000000
40 0.972000 nan 0.000000
41 0.996000 nan 0.000000
42 1.020000 nan 0.000000
43 1.044000 nan 0.000000
44 1.068000 nan 0.000000
45 1.092000 nan 0.000000
46 1.116000 nan 0.000000
47 1.140000 nan 0.000000
48 1.164000 nan 0.000000
49 1.188000 nan 0.000000
50 1.212000 nan 0.000000
51 1.236000 nan 0.000000
52 1.260000 nan 0.000000
53 1.284000 nan 0.000000
54 1.308000 nan 0.000000
55 1.332000 nan 0.000000
56 1.356000 nan 0.000000
57 1.380000 nan 0.000000
58 1.404000 nan 0.000000
59 1.428000 nan 0.000000
60 1.452000 nan 0.000000
61 1.476000 nan 0.000000
62 1.500000 nan 0.000000
63 1.524000 nan 0.000000
64 1.548000 nan 0.000000
65 1.572000 nan 0.000000
66 1.596000 nan 0.000000
67 1.620000 nan 0.000000
68 1.644000 nan 0.000000
69 1.668000 nan 0.000000
70 1.692000 nan 0.000000
71 1.716000 nan 0.000000
72 1.740000 nan 0.000000
73 1.764000 nan 0.000000
74 1.788000 nan 0.000000
75 1.812000 nan 0.000000
76 1.836000 nan 0.000000
77 1.860000 nan 0.000000
78 1.884000 nan 0.000000
79 1.908000 nan 0.000000
80 1.932000 nan 0.000000
81 1.956000 nan 0.000000
82 1.980000 nan 0.000000
83 2.004000 nan 0.000000
84 2.028000 nan 0.000000
85 2.052000 nan 0.000000
86 2.076000 nan 0.000000
87 2.100000 nan 0.000000
88 2.124000 nan 0.000000
89 2.148000 nan 0.000000
90 2.172000 nan 0.000000
91 2.196000 nan 0.000000
92 2.220000 nan 0.000000
93 2.244000 nan 0.000000
94 2.268000 nan 0.000000
95 2.292000 nan 0.000000
96 2.316000 nan 0.000000
97 2.340000 nan 0.000000
98 2.364000 nan 0.000000
99 2.388000 nan 0.000000
100 2.412000 nan 0.000000
101 2.436000 nan 0.000000
102 2.460000 nan 0.000000
103 2.484000 nan 0.000000
104 2.508000 nan 0.000000
105 2.532000 nan 0.000000
106 2.556000 nan 0.000000
107 2.580000 nan 0.000000
108 2.604000 nan 0.000000
109 2.628000 nan 0.000000
110 2.652000 nan 0.000000
111 2.676000 nan 0.000000
112 2.700000 nan 0.000000
113 2.724000 nan 0.000000
114 2.748000 nan 0.000000
115 2.772000 nan 0.000000
116 2.796000 nan 0.000000
117 2.820000 nan 0.000000
118 2.844000 nan 0.000000
119 2.868000 nan 0.000000
120 2.892000 nan 0.000000
121 2.916000 nan 0.000000
122 2.940000 nan 0.000000
123 2.964000 nan 0.000000
124 2.988000 nan 0.000000
125 3.012000 nan 0.000000
126 3.036000 nan 0.000000
127 3.060000 nan 0.000000
128 3.084000 nan 0.000000
129 3.108000 nan 0.000000
130 3.132000 nan 0.000000
131 3.156000 nan 0.000000
132 3.180000 nan 0.000000
133 3.204000 nan 0.000000
134 3.228000 nan 0.000000
135 3.252000 nan 0.000000
136 3.276000 nan 0.000000
137 3.300000 nan 0.000000
138 3.324000 nan 0.000000
139 3.348000 nan 0.000000
140 3.372000 nan 0.000000
141 3.396000 nan 0.000000
142 3.420000 nan 0.000000
143 3.444000 nan 0.000000
144 3.468000 nan 0.000000
145 3.492000 nan 0.000000
146 3.516000 nan 0.000000
147 3.540000 nan 0.000000
148 3.564000 nan 0.000000
149 3.588000 nan 0.000000
150 3.612000 nan 0.000000
151 3.636000 nan 0.000000
152 3.660000 nan 0.000000
153 3.684000 nan 0.000000
154 3.708000 nan 0.000000
155 3.732000 nan 0.000000
156 3.756000 nan 0.000000
157 3.780000 nan 0.000000
158 3.804000 nan 0.000000
159 3.828000 nan 0.000000
160 3.852000 nan 0.000000
161 3.876000 nan 0.000000
162 3.900000 nan 0.000000
163 3.924000 nan 0.000000
164 3.948000 nan 0.000000
165 3.972000 nan 0.000000
166 3.996000 nan 0.000000
167 4.020000 nan 0.000000
168 4.044000 nan 0.000000
169 4.068000 nan 0.000000
170 4.092000 nan 0.000000
171 4.116000 nan 0.000000
172 4.140000 nan 0.000000
173 4.164000 nan 0.000000
174 4.188000 nan 0.000000
175 4.212000 nan 0.000000
176 4.236000 nan 0.000000
177 4.260000 nan 0.000000
178 4.284000 nan 0.000000
179 4.308000 nan 0.000000
180 4.332000 nan 0.000000
181 4.356000 nan 0.000000
182 4.380000 nan 0.000000
183 4.404000 nan 0.000000
184 4.428000 nan 0.000000
185 4.452000 nan 0.000000
186 4.476000 nan 0.000000
187 4.500000 nan 0.000000
188 4.524000 nan 0.000000
189 4.548000 nan 0.000000
190 4.572000 nan 0.000000
191 4.596000 nan 0.000000
192 4.620000 nan 0.000000
193 4.644000 nan 0.000000
194 4.668000 nan 0.000000
195 4.692000 nan 0.000000
196 4.716000 nan 0.000000
197 4.740000 nan 0.000000
198 4.764000 nan 0.000000
199 4.788000 nan 0.000000
200 4.812000 nan 0.000000
201 4.836000 nan 0.000000
202 4.860000 nan 0.000000
203 4.884000 nan 0.000000
204 4.908000 nan 0.000000
205 4.932000 nan 0.000000
206 4.956000 nan 0.000000
207 4.980000 nan 0.000000
208 5.004000 nan 0.000000
209 5.028000 nan 0.000000
210 5.052000 nan 0.000000
211 5.076000 nan 0.000000
212 5.100000 nan 0.000000
213 5.124000 nan 0.000000
214 5.148000 nan 0.000000
215 5.172000 nan 0.000000
216 5.196000 nan 0.000000
217 5.220000 nan 0.000000
218 5.244000 nan 0.000000
219 5.268000 nan 0.000000
220 5.292000 nan 0.000000
221 5.316000 nan 0.000000
222 5.340000 nan 0.000000
223 5.364000 nan 0.000000
224 5.388000 nan 0.000000
225 5.412000 nan 0.000000
226 5.436000 nan 0.000000
227 5.460000 nan 0.000000
228 5.484000 nan 0.000000
229 5.508000 nan 0.000000
230 5.532000 nan 0.000000
231 5.556000 nan 0.000000
232 5.580000 nan 0.000000
233 5.604000 nan 0.000000
234 5.628000 nan 0.000000
235 5.652000 nan 0.000000
236 5.676000 nan 0.000000
237 5.700000 nan 0.000000
238 5.724000 nan 0.000000
239 5.748000 nan 0.000000
240 5.772000 nan 0.000000
241 5.796000 nan 0.000000
242 5.820000 nan 0.000000
243 5.844000 nan 0.000000
244 5.868000 nan 0.000000
245 5.892000 nan 0.000000
246 5.916000 nan 0.000000
247 5.940000 nan 0.000000
248 5.964000 nan 0.000000
249 5.988000 nan 0.000000
250 6.012000 nan 0.000000
251 6.036000 nan 0.000000
252 6.060000 nan 0.000000
253 6.084000 nan 0.000000
254 6.108000 nan 0.000000
255 6.132000 nan 0.000000
256 6.156000 nan 0.000000
257 6.180000 nan 0.000000
258 6.204000 nan 0.000000
259 6.228000 nan 0.000000
260 6.252000 nan 0.000000
261 6.276000 nan 0.000000
262 6.300000 nan 0.000000
263 6.324000 nan 0.000000
264 6.348000 nan 0.000000
265 6.372000 nan 0.000000
266 6.396000 nan 0.000000
267 6.420000 nan 0.000000
268 6.444000 nan 0.000000
269 6.468000 nan 0.000000
270 6.492000 nan 0.000000
271 6.516000 nan 0.000000
272 6.540000 nan 0.000000
273 6.564000 nan 0.000000
274 6.588000 nan 0.000000
275 6.612000 nan 0.000000
276 6.636000 nan 0.000000
277 6.660000 nan 0.000000
278 6.684000 nan 0.000000
279 6.708000 nan 0.000000
280 6.732000 nan 0.000000
281 6.756000 nan 0.000000
282 6.780000 nan 0.000000
283 6.804000 nan 0.000000
284 6.828000 nan 0.000000
285 6.852000 nan 0.000000
286 6.876000 nan 0.000000
287 6.900000 nan 0.000000
288 6.924000 nan 0.000000
289 6.948000 nan 0.000000
290 6.972000 nan 0.000000
291 6.996000 nan 0.000000
292 7.020000 nan 0.000000
293 7.044000 nan 0.000000
294 7.068000 nan 0.000000
295 7.092000 nan 0.000000
296 7.116000 nan 0.000000
297 7.140000 nan 0.000000
298 7.164000 nan 0.000000
299 7.188000 nan 0.000000
300 7.212000 nan 0.000000
301 7.236000 nan 0.000000
302 7.260000 nan 0.000000
303 7.284000 nan 0.000000
304 7.308000 nan 0.000000
305 7.332000 nan 0.000000
306 7.356000 nan 0.000000
307 7.380000 nan 0.000000
308 7.404000 nan 0.000000
309 7.428000 nan 0.000000
310 7.452000 nan 0.000000
311 7.476000 nan 0.000000
312 7.500000 nan 0.000000
313 7.524000 nan 0.000000
314 7.548000 nan 0.000000
315 7.572000 nan 0.000000
316 7.596000 nan 0.000000
317 7.620000 nan 0.000000
318 7.644000 nan 0.000000
319 7.668000 nan 0.000000
320 7.692000 nan 0.000000
321 7.716000 nan 0.000000
322 7.740000 nan 0.000000
323 7.764000 nan 0.000000
324 7.788000 nan 0.000000
325 7.812000 nan 0.000000
326 7.836000 nan 0.000000
327 7.860000 nan 0.000000
328 7.884000 nan 0.000000
329 7.908000 nan 0.000000
330 7.932000 nan 0.000000
331 7.956000 nan 0.000000
332 7.980000 nan 0.000000
333 8.004000 nan 0.000000
334 8.028000 nan 0.000000
335 8.052000 nan 0.000000
336 8.076000 nan 0.000000
337 8.100000 nan 0.000000
338 8.124000 nan 0.000000
339 8.148000 nan 0.000000
340 8.172000 nan 0.000000
341 8.196000 nan 0.000000
342 8.220000 nan 0.000000
343 8.244000 nan 0.000000
344 8.268000 nan 0.000000
345 8.292000 nan 0.000000
346 8.316000 nan 0.000000
347 8.340000 nan 0.000000
348 8.364000 nan 0.000000
349 8.388000 nan 0.000000
350 8.412000 nan 0.000000
351 8.436000 nan 0.000000
352 8.460000 nan 0.000000
353 8.484000 nan 0.000000
354 8.508000 nan 0.000000
355 8.532000 nan 0.000000
356 8.556000 nan 0.000000
357 8.580000 nan 0.000000
358 8.604000 nan 0.000000
359 8.628000 nan 0.000000
360 8.652000 nan 0.000000
361 8.676000 nan 0.000000
362 8.700000 nan 0.000000
363 8.724000 nan 0.000000
364 8.748000 nan 0.000000
365 8.772000 nan 0.000000
366 8.796000 nan 0.000000
367 8.820000 nan 0.000000
368 8.844000 nan 0.000000
369 8.868000 nan 0.000000
370 8.892000 nan 0.000000
371 8.916000 nan 0.000000
372 8.940000 nan 0.000000
373 8.964000 nan 0.000000
374 8.988000 nan 0.000000
375 9.012000 nan 0.000000
376 9.036000 nan 0.000000
377 9.060000 nan 0.000000
378 9.084000 nan 0.000000
379 9.108000 nan 0.000000
380 9.132000 nan 0.000000
381 9.156000 nan 0.000000
382 9.180000 nan 0.000000
383 9.204000 nan 0.000000
384 9.228000 nan 0.000000
385 9.252000 nan 0.000000
386 9.276000 nan 0.000000
387 9.300000 nan 0.000000
388 9.324000 nan 0.000000
389 9.348000 nan 0.000000
390 9.372000 nan 0.000000
391 9.396000 nan 0.000000
392 9.420000 nan 0.000000
393 9.444000 nan 0.000000
394 9.468000 nan 0.000000
395 9.492000 nan 0.000000
396 9.516000 nan 0.000000
397 9.540000 nan 0.000000
398 9.564000 nan 0.000000
399 9.588000 nan 0.000000
400 9.612000 nan 0.000000
401 9.636000 nan 0.000000
402 9.660000 nan 0.000000
403 9.684000 nan 0.000000
404 9.708000 nan 0.000000
405 9.732000 nan 0.000000
406 9.756000 nan 0.000000
407 9.780000 nan 0.000000
408 9.804000 nan 0.000000
409 9.828000 nan 0.000000
410 9.852000 nan 0.000000
411 9.876000 nan 0.000000
412 9.900000 nan 0.000000
413 9.924000 nan 0.000000
414 9.948000 nan 0.000000
415 9.972000 nan 0.000000
416 9.996000 nan 0.000000
417 10.020000 nan 0.000000
418 10.044000 nan 0.000000
419 10.068000 nan 0.000000
420 10.092000 nan 0.000000
421 10.116000 nan 0.000000
422 10.140000 nan 0.000000
423 10.164000 nan 0.000000
424 10.188000 nan 0.000000
425 10.212000 nan 0.000000
426 10.236000 nan 0.000000
427 10.260000 nan 0.000000
428 10.284000 nan 0.000000
429 10.308000 nan 0.000000
430 10.332000 nan 0.000000
431 10.356000 nan 0.000000
432 10.380000 nan 0.000000
433 10.404000 nan 0.000000
434 10.428000 nan 0.000000
435 10.452000 nan 0.000000
436 10.476000 nan 0.000000
437 10.500000 nan 0.000000
438 10.524000 nan 0.000000
439 10.548000 nan 0.000000
440 10.572000 nan 0.000000
441 10.596000 nan 0.000000
442 10.620000 nan 0.000000
443 10.644000 nan 0.000000
444 10.668000 nan 0.000000
445 10.692000 nan 0.000000
446 10.716000 nan 0.000000
447 10.740000 nan 0.000000
448 10.764000 nan 0.000000
449 10.788000 nan 0.000000
450 10.812000 nan 0.000000
451 10.836000 nan 0.000000
452 10.860000 nan 0.000000
453 10.884000 nan 0.000000
454 10.908000 nan 0.000000
455 10.932000 nan 0.000000
456 10.956000 nan 0.000000
457 10.980000 nan 0.000000
458 11.004000 nan 0.000000
459 11.028000 nan 0.000000
460 11.052000 nan 0.000000
461 11.076000 nan 0.000000
462 11.100000 nan 0.000000
463 11.124000 nan 0.000000
464 11.148000 nan 0.000000
465 11.172000 nan 0.000000
466 11.196000 nan 0.000000
467 11.220000 nan 0.000000
468 11.244000 nan 0.000000
469 11.268000 nan 0.000000
470 11.292000 nan 0.000000
471 11.316000 nan 0.000000
472 11.340000 nan 0.000000
473 11.364000 nan 0.000000
474 11.388000 nan 0.000000
475 11.412000 nan 0.000000
476 11.436000 nan 0.000000
477 11.460000 nan 0.000000
478 11.484000 nan 0.000000
