# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.012000 0.000000 0.000000
1 0.036000 0.000000 0.000000
2 0.060000 0.000000 0.000000
3 0.084000 0.000000 0.000000
4 0.108000 0.000000 0.000000
5 0.132000 0.000000 0.000000
6 0.156000 0.000000 0.000000
7 0.180000 0.000000 0.000000
8 0.204000 0.000000 0.000000
9 0.228000 0.000000 0.000000
10 0.252000 0.000000 0.000000
11 0.276000 0.000000 0.000000
12 0.300000 0.000000 0.000000
13 0.324000 0.000000 0.000000
14 0.348000 0.000000 0.000000
15 0.372000 0.000000 0.000000
16 0.396000 0.000000 0.000000
17 0.420000 0.000000 0.000000
18 0.444000 0.000000 0.000000
19 0.468000 0.000000 0.000000
20 0.492000 0.000000 0.000000
21 0.516000 0.000000 0.000000
22 0.540000 0.000000 0.000000
23 0.564000 0.000000 0.000000
24 0.588000 0.000000 0.000000
25 0.612000 0.000000 0.000000
26 0.636000 0.000000 0.000000
27 0.660000 0.000000 0.000000
28 0.684000 0.000000 0.000000
29 0.708000 0.000000 0.000000
30 0.732000 0.000000 0.000000
31 0.756000 0.000000 0.000000
32 0.780000 0.000000 0.000000
33 0.804000 0.000000 0.000000
34 0.828000 0.000000 0.000000
35 0.852000 0.000000 0.000000
36 0.876000 0.000000 0.000000
37 0.900000 0.000000 0.000000
38 0.924000 0.000000 0.000000
39 0.948000 0.000000 0.000000
40 0.972000 0.000000 0.000000
41 0.996000 0.000000 0.000000
42 1.020000 0.000000 0.000000
43 1.044000 0.000000 0.000000
44 1.068000 0.000000 0.000000
45 1.092000 0.000000 0.000000
46 1.116000 0.000000 0.000000
47 1.140000 0.000000 0.000000
48 1.164000 0.000000 0.000000
49 1.188000 0.000000 0.000000
50 1.212000 0.000000 0.000000
51 1.236000 0.000000 0.000000
52 1.260000 0.000029 0.000480
53 1.284000 0.000024 0.000400
54 1.308000 0.000061 0.001080
55 1.332000 0.000039 0.000720
56 1.356000 0.000120 0.002280
57 1.380000 0.000226 0.004440
58 1.404000 0.000161 0.003280
59 1.428000 0.000403 0.008480
60 1.452000 0.000662 0.014400
61 1.476000 0.000859 0.019320
62 1.500000 0.001399 0.032480
63 1.524000 0.001704 0.040840
64 1.548000 0.002535 0.062680
65 1.572000 0.003559 0.090760
66 1.596000 0.005456 0.143400
67 1.620000 0.007149 0.193600
68 1.644000 0.009278 0.258760
69 1.668000 0.012510 0.359160
70 1.692000 0.016719 0.493920
71 1.716000 0.021323 0.647920
72 1.740000 0.026846 0.838720
73 1.764000 0.034384 1.104040
74 1.788000 0.044429 1.465680
75 1.812000 0.055986 1.896840
76 1.836000 0.070209 2.442160
77 1.860000 0.086694 3.094920
78 1.884000 0.109107 3.996240
79 1.908000 0.134678 5.059280
80 1.932000 0.167982 6.470120
81 1.956000 0.208134 8.217080
82 1.980000 0.257328 10.410080
83 2.004000 0.316601 13.120320
84 2.028000 0.386462 16.401320
85 2.052000 0.464337 20.175520
86 2.076000 0.555526 24.705600
87 2.100000 0.657348 29.913720
88 2.124000 0.762456 35.494440
89 2.148000 0.876772 41.743760
90 2.172000 0.990165 48.201840
91 2.196000 1.094714 54.475600
92 2.220000 1.195653 60.806160
93 2.244000 1.282770 66.654760
94 2.268000 1.351889 71.756920
95 2.292000 1.410144 76.441480
96 2.316000 1.447893 80.140160
97 2.340000 1.464617 82.754640
98 2.364000 1.474485 85.029920
99 2.388000 1.457973 85.793560
100 2.412000 1.432532 85.999400
101 2.436000 1.400901 85.782480
102 2.460000 1.361252 85.005160
103 2.484000 1.312722 83.581920
104 2.508000 1.264095 82.048600
105 2.532000 1.217362 80.534840
106 2.556000 1.166422 78.634640
107 2.580000 1.117929 76.787440
108 2.604000 1.070857 74.929000
109 2.628000 1.024673 73.025160
110 2.652000 0.988521 71.741320
111 2.676000 0.948311 70.074400
112 2.700000 0.913077 68.686480
113 2.724000 0.886720 67.894880
114 2.748000 0.860408 67.046240
115 2.772000 0.840843 66.671120
116 2.796000 0.820617 66.199000
117 2.820000 0.806066 66.146240
118 2.844000 0.796930 66.514400
119 2.868000 0.784070 66.550280
120 2.892000 0.779400 67.265640
121 2.916000 0.778421 68.300880
122 2.940000 0.778964 69.478200
123 2.964000 0.780286 70.737040
124 2.988000 0.782524 72.093360
125 3.012000 0.786717 73.648680
126 3.036000 0.797232 75.827120
127 3.060000 0.805084 77.789400
128 3.084000 0.815247 80.011840
129 3.108000 0.824465 82.180840
130 3.132000 0.839016 84.927840
131 3.156000 0.850115 87.375160
132 3.180000 0.865601 90.325080
133 3.204000 0.878093 93.016920
134 3.228000 0.892375 95.951320
135 3.252000 0.908928 99.189800
136 3.276000 0.923732 102.298800
137 3.300000 0.936217 105.206080
138 3.324000 0.956372 109.039840
139 3.348000 0.972609 112.498280
140 3.372000 0.991688 116.355440
141 3.396000 1.006982 119.837760
142 3.420000 1.023556 123.538000
143 3.444000 1.041762 127.506240
144 3.468000 1.058264 131.337440
145 3.492000 1.075058 135.274800
146 3.516000 1.092783 139.401680
147 3.540000 1.105190 142.915680
148 3.564000 1.118614 146.619600
149 3.588000 1.130682 150.204120
150 3.612000 1.139448 153.400440
151 3.636000 1.144734 156.166920
152 3.660000 1.147953 158.680200
153 3.684000 1.152100 161.348920
154 3.708000 1.150987 163.300120
155 3.732000 1.148449 165.056080
156 3.756000 1.139211 165.840960
157 3.780000 1.132230 166.937880
158 3.804000 1.126746 168.245480
159 3.828000 1.112968 168.291880
160 3.852000 1.101619 168.671000
161 3.876000 1.092849 169.419840
162 3.900000 1.081968 169.816640
163 3.924000 1.072200 170.361040
164 3.948000 1.061276 170.694360
165 3.972000 1.054487 171.670720
166 3.996000 1.045401 172.254480
167 4.020000 1.037887 173.076800
168 4.044000 1.034432 174.566400
169 4.068000 1.028745 175.673520
170 4.092000 1.025004 177.106040
171 4.116000 1.022139 178.688840
172 4.140000 1.019588 180.327440
173 4.164000 1.019169 182.349320
174 4.188000 1.021635 184.903800
175 4.212000 1.018843 186.517960
176 4.236000 1.021169 189.080280
177 4.260000 1.023610 191.686000
178 4.284000 1.023359 193.804320
179 4.308000 1.026940 196.667720
180 4.332000 1.027991 199.068680
181 4.356000 1.028481 201.376440
182 4.380000 1.029115 203.727120
183 4.404000 1.031533 206.449760
184 4.428000 1.032672 208.936520
185 4.452000 1.034242 211.528600
186 4.476000 1.035707 214.118120
187 4.500000 1.036349 216.554760
188 4.524000 1.037881 219.194400
189 4.548000 1.038945 221.753160
190 4.572000 1.038586 224.022480
191 4.596000 1.038674 226.399640
192 4.620000 1.036469 228.284680
