# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.012000 0.000000 0.000000
1 0.036000 0.000000 0.000000
2 0.060000 0.000000 0.000000
3 0.084000 0.000000 0.000000
4 0.108000 0.000000 0.000000
5 0.132000 0.000000 0.000000
6 0.156000 0.000000 0.000000
7 0.180000 0.000000 0.000000
8 0.204000 0.000000 0.000000
9 0.228000 0.000000 0.000000
10 0.252000 0.000000 0.000000
11 0.276000 0.000000 0.000000
12 0.300000 0.000000 0.000000
13 0.324000 0.000000 0.000000
14 0.348000 0.000000 0.000000
15 0.372000 0.000000 0.000000
16 0.396000 0.000000 0.000000
17 0.420000 0.000000 0.000000
18 0.444000 0.000000 0.000000
19 0.468000 0.000000 0.000000
20 0.492000 0.000000 0.000000
21 0.516000 0.000000 0.000000
22 0.540000 0.000000 0.000000
23 0.564000 0.000000 0.000000
24 0.588000 0.000000 0.000000
25 0.612000 0.000000 0.000000
26 0.636000 0.000000 0.000000
27 0.660000 0.000000 0.000000
28 0.684000 0.000000 0.000000
29 0.708000 0.000000 0.000000
30 0.732000 0.000000 0.000000
31 0.756000 0.000000 0.000000
32 0.780000 0.000000 0.000000
33 0.804000 0.000000 0.000000
34 0.828000 0.000000 0.000000
35 0.852000 0.000000 0.000000
36 0.876000 0.000000 0.000000
37 0.900000 0.000000 0.000000
38 0.924000 0.000000 0.000000
39 0.948000 0.000000 0.000000
40 0.972000 0.000000 0.000000
41 0.996000 0.000000 0.000000
42 1.020000 0.000000 0.000000
43 1.044000 0.000000 0.000000
44 1.068000 0.000000 0.000000
45 1.092000 0.000000 0.000000
46 1.116000 0.000000 0.000000
47 1.140000 0.000000 0.000000
48 1.164000 0.000000 0.000000
49 1.188000 0.000000 0.000000
50 1.212000 0.000000 0.000000
51 1.236000 0.000000 0.000000
52 1.260000 0.000000 0.000000
53 1.284000 0.000000 0.000000
54 1.308000 0.000000 0.000000
55 1.332000 0.000000 0.000000
56 1.356000 0.000000 0.000000
57 1.380000 0.000000 0.000000
58 1.404000 0.000002 0.000020
59 1.428000 0.000114 0.001200
60 1.452000 0.000884 0.009620
61 1.476000 0.003765 0.042360
62 1.500000 0.011416 0.132660
63 1.524000 0.030781 0.369220
64 1.548000 0.070055 0.866980
65 1.572000 0.135716 1.732080
66 1.596000 0.240717 3.166680
67 1.620000 0.375907 5.094960
68 1.644000 0.544375 7.598580
69 1.668000 0.721103 10.361440
70 1.692000 0.899277 13.296120
71 1.716000 1.040019 15.816360
72 1.740000 1.172049 18.326320
73 1.764000 1.258186 20.219620
74 1.788000 1.302768 21.509640
75 1.812000 1.310901 22.228860
76 1.836000 1.289865 22.455380
77 1.860000 1.243292 22.214160
78 1.884000 1.185276 21.727620
79 1.908000 1.112366 20.913920
80 1.932000 1.025479 19.768420
81 1.956000 0.944820 18.668860
82 1.980000 0.865690 17.527640
83 2.004000 0.790310 16.391700
84 2.028000 0.717129 15.232260
85 2.052000 0.650811 14.152740
86 2.076000 0.589897 13.129920
87 2.100000 0.535489 12.196080
88 2.124000 0.485267 11.306300
89 2.148000 0.442815 10.551680
90 2.172000 0.409335 9.973080
91 2.196000 0.380197 9.469000
92 2.220000 0.350258 8.915060
93 2.244000 0.328320 8.538360
94 2.268000 0.305718 8.121520
95 2.292000 0.291539 7.909640
96 2.316000 0.276088 7.648140
97 2.340000 0.266954 7.549180
98 2.364000 0.257010 7.417800
99 2.388000 0.252122 7.425240
100 2.412000 0.248434 7.464440
101 2.436000 0.247051 7.571320
102 2.460000 0.249429 7.795560
103 2.484000 0.250977 7.997760
104 2.508000 0.257041 8.350040
105 2.532000 0.265782 8.800020
106 2.556000 0.276515 9.329780
107 2.580000 0.288997 9.934900
108 2.604000 0.309013 10.821540
109 2.628000 0.326566 11.648020
110 2.652000 0.351785 12.777760
111 2.676000 0.379155 14.022320
112 2.700000 0.411822 15.504860
113 2.724000 0.453078 17.362740
114 2.748000 0.493279 19.237860
115 2.772000 0.544966 21.626540
116 2.796000 0.599409 24.200740
117 2.820000 0.661233 27.157100
118 2.844000 0.730366 30.509180
119 2.868000 0.801229 34.036560
120 2.892000 0.873871 37.746320
121 2.916000 0.958169 42.077300
122 2.940000 1.034895 46.197860
123 2.964000 1.112859 50.492540
124 2.988000 1.190855 54.909940
125 3.012000 1.264572 59.249460
126 3.036000 1.328008 63.217200
127 3.060000 1.385426 66.997280
128 3.084000 1.433563 70.416820
129 3.108000 1.473829 73.525860
130 3.132000 1.506794 76.335820
131 3.156000 1.525834 78.489600
132 3.180000 1.539572 80.405360
133 3.204000 1.539292 81.608760
134 3.228000 1.531954 82.441080
135 3.252000 1.516159 82.808820
136 3.276000 1.500092 83.145060
137 3.300000 1.473125 82.851100
138 3.324000 1.444427 82.423000
139 3.348000 1.415018 81.915080
140 3.372000 1.386025 81.391120
141 3.396000 1.354357 80.667660
142 3.420000 1.320175 79.747040
143 3.444000 1.291690 79.125300
144 3.468000 1.259410 78.226900
145 3.492000 1.233219 77.663940
146 3.516000 1.204271 76.886960
147 3.540000 1.180636 76.410540
148 3.564000 1.156513 75.867680
149 3.588000 1.138211 75.676060
150 3.612000 1.117762 75.314000
151 3.636000 1.104561 75.416820
152 3.660000 1.089927 75.403300
153 3.684000 1.078413 75.588380
154 3.708000 1.068943 75.904020
155 3.732000 1.059179 76.187440
156 3.756000 1.050014 76.502740
157 3.780000 1.044648 77.087620
158 3.804000 1.036999 77.497980
159 3.828000 1.036173 78.416400
160 3.852000 1.032290 79.105200
161 3.876000 1.028767 79.820680
162 3.900000 1.022452 80.316200
163 3.924000 1.020297 81.136320
164 3.948000 1.022897 82.341200
165 3.972000 1.018822 83.013320
166 3.996000 1.017804 83.935520
167 4.020000 1.013705 84.604720
168 4.044000 1.011067 85.395140
169 4.068000 1.008107 86.158760
170 4.092000 1.006038 86.999460
171 4.116000 1.003609 87.810460
172 4.140000 1.002250 88.717180
173 4.164000 1.000305 89.574580
174 4.188000 0.997924 90.394420
175 4.212000 0.995799 91.238720
176 4.236000 0.992887 92.011620
177 4.260000 0.993298 93.095740
178 4.284000 0.989260 93.764920
179 4.308000 0.989983 94.887740
180 4.332000 0.987340 95.691720
181 4.356000 0.983489 96.377560
182 4.380000 0.983312 97.425000
183 4.404000 0.982779 98.442240
184 4.428000 0.981011 99.339040
185 4.452000 0.979402 100.254080
186 4.476000 0.977390 101.129780
187 4.500000 0.979474 102.435060
188 4.524000 0.975985 103.161920
189 4.548000 0.977924 104.466440
190 4.572000 0.973714 105.117440
191 4.596000 0.974177 106.274420
192 4.620000 0.974973 107.474960
