# column 1: index
# column 2: distance [A]
# column 3: RDF histogram
# column 4: unnormalized distance histogram
0 0.012000 0.000000 0.000000
1 0.036000 0.000000 0.000000
2 0.060000 0.000000 0.000000
3 0.084000 0.000000 0.000000
4 0.108000 0.000000 0.000000
5 0.132000 0.000000 0.000000
6 0.156000 0.000000 0.000000
7 0.180000 0.000000 0.000000
8 0.204000 0.000000 0.000000
9 0.228000 0.000000 0.000000
10 0.252000 0.000000 0.000000
11 0.276000 0.000000 0.000000
12 0.300000 0.000000 0.000000
13 0.324000 0.000000 0.000000
14 0.348000 0.000000 0.000000
15 0.372000 0.000000 0.000000
16 0.396000 0.000000 0.000000
17 0.420000 0.000000 0.000000
18 0.444000 0.000000 0.000000
19 0.468000 0.000000 0.000000
20 0.492000 0.000000 0.000000
21 0.516000 0.000000 0.000000
22 0.540000 0.000000 0.000000
23 0.564000 0.000000 0.000000
24 0.588000 0.000000 0.000000
25 0.612000 0.000000 0.000000
26 0.636000 0.000000 0.000000
27 0.660000 0.000000 0.000000
28 0.684000 0.000000 0.000000
29 0.708000 0.000000 0.000000
30 0.732000 0.000000 0.000000
31 0.756000 0.000000 0.000000
32 0.780000 0.000000 0.000000
33 0.804000 0.000000 0.000000
34 0.828000 0.000000 0.000000
35 0.852000 0.000000 0.000000
36 0.876000 0.000000 0.000000
37 0.900000 0.000000 0.000000
38 0.924000 0.000000 0.000000
39 0.948000 0.000000 0.000000
40 0.972000 0.000000 0.000000
41 0.996000 0.000000 0.000000
42 1.020000 0.000000 0.000000
43 1.044000 0.000000 0.000000
44 1.068000 0.000000 0.000000
45 1.092000 0.000000 0.000000
46 1.116000 0.000000 0.000000
47 1.140000 0.000000 0.000000
48 1.164000 0.000000 0.000000
49 1.188000 0.000000 0.000000
50 1.212000 0.000000 0.000000
51 1.236000 0.000000 0.000000
52 1.260000 0.000000 0.000000
53 1.284000 0.000000 0.000000
54 1.308000 0.000000 0.000000
55 1.332000 0.000000 0.000000
56 1.356000 0.000000 0.000000
57 1.380000 0.000000 0.000000
58 1.404000 0.000000 0.000000
59 1.428000 0.000000 0.000000
60 1.452000 0.000000 0.000000
61 1.476000 0.000000 0.000000
62 1.500000 0.000000 0.000000
63 1.524000 0.000000 0.000000
64 1.548000 0.000000 0.000000
65 1.572000 0.000000 0.000000
66 1.596000 0.000000 0.000000
67 1.620000 0.000000 0.000000
68 1.644000 0.000000 0.000000
69 1.668000 0.000000 0.000000
70 1.692000 0.000000 0.000000
71 1.716000 0.000000 0.000000
72 1.740000 0.000000 0.000000
73 1.764000 0.000000 0.000000
74 1.788000 0.000000 0.000000
75 1.812000 0.000000 0.000000
76 1.836000 0.000000 0.000000
77 1.860000 0.000000 0.000000
78 1.884000 0.000000 0.000000
79 1.908000 0.000000 0.000000
80 1.932000 0.000000 0.000000
81 1.956000 0.000000 0.000000
82 1.980000 0.000000 0.000000
83 2.004000 0.000000 0.000000
84 2.028000 0.000000 0.000000
85 2.052000 0.000000 0.000000
86 2.076000 0.000000 0.000000
87 2.100000 0.000000 0.000000
88 2.124000 0.000000 0.000000
89 2.148000 0.000000 0.000000
90 2.172000 0.000000 0.000000
91 2.196000 0.000000 0.000000
92 2.220000 0.000000 0.000000
93 2.244000 0.000000 0.000000
94 2.268000 0.000000 0.000000
95 2.292000 0.000000 0.000000
96 2.316000 0.000000 0.000000
97 2.340000 0.000003 0.000040
98 2.364000 0.000056 0.000800
99 2.388000 0.000607 0.008920
100 2.412000 0.003900 0.058480
101 2.436000 0.014354 0.219520
102 2.460000 0.043718 0.681840
103 2.484000 0.110740 1.761000
104 2.508000 0.234837 3.806920
105 2.532000 0.441002 7.286520
106 2.556000 0.736646 12.403160
107 2.580000 1.101952 18.904000
108 2.604000 1.505563 26.310720
109 2.628000 1.909778 33.992680
110 2.652000 2.265502 41.064200
111 2.676000 2.565279 47.343320
112 2.700000 2.738343 51.447840
113 2.724000 2.835147 54.217760
114 2.748000 2.838428 55.241200
115 2.772000 2.778969 55.032840
116 2.796000 2.671064 53.815880
117 2.820000 2.517636 51.599200
118 2.844000 2.333480 48.642400
119 2.868000 2.167232 45.942600
120 2.892000 1.978290 42.642080
121 2.916000 1.821825 39.923960
122 2.940000 1.682482 37.479760
123 2.964000 1.532852 34.706320
124 2.988000 1.407177 32.378880
125 3.012000 1.305531 30.524520
126 3.036000 1.207593 28.686400
127 3.060000 1.140633 27.525840
128 3.084000 1.076683 26.391760
129 3.108000 1.023124 25.470760
130 3.132000 0.976187 24.679040
131 3.156000 0.934260 23.982440
132 3.180000 0.905389 23.596160
133 3.204000 0.880079 23.284040
134 3.228000 0.854307 22.942080
135 3.252000 0.836772 22.806560
136 3.276000 0.820578 22.696520
137 3.300000 0.813247 22.824560
138 3.324000 0.806172 22.956280
139 3.348000 0.808160 23.346400
140 3.372000 0.800710 23.464000
141 3.396000 0.801108 23.811040
142 3.420000 0.801812 24.170000
143 3.444000 0.804516 24.593080
144 3.468000 0.805206 24.958400
145 3.492000 0.808128 25.396880
146 3.516000 0.814941 25.964240
147 3.540000 0.821014 26.516040
148 3.564000 0.824208 26.981360
149 3.588000 0.831674 27.593680
150 3.612000 0.846300 28.455840
151 3.636000 0.847186 28.865440
152 3.660000 0.853069 29.450880
153 3.684000 0.870727 30.456000
154 3.708000 0.875892 31.037160
155 3.732000 0.883933 31.728840
156 3.756000 0.900873 32.754160
157 3.780000 0.908790 33.465640
158 3.804000 0.922595 34.406760
159 3.828000 0.938025 35.425000
160 3.852000 0.947325 36.226240
161 3.876000 0.962839 37.279760
162 3.900000 0.968010 37.945560
163 3.924000 0.983220 39.017600
164 3.948000 0.994922 39.966400
165 3.972000 1.009758 41.057040
166 3.996000 1.016096 41.815520
167 4.020000 1.024642 42.675240
168 4.044000 1.042350 43.932680
169 4.068000 1.055418 45.013040
170 4.092000 1.063191 45.881160
171 4.116000 1.071101 46.766280
172 4.140000 1.080435 47.725560
173 4.164000 1.089828 48.700240
174 4.188000 1.099216 49.687600
175 4.212000 1.106735 50.602520
176 4.236000 1.107019 51.193960
177 4.260000 1.114099 52.106840
178 4.284000 1.125191 53.220240
179 4.308000 1.124911 53.804840
180 4.332000 1.130086 54.656320
181 4.356000 1.136158 55.560520
182 4.380000 1.139049 56.317400
183 4.404000 1.143552 57.161320
184 4.428000 1.142978 57.757040
185 4.452000 1.141345 58.301400
186 4.476000 1.139402 58.831360
187 4.500000 1.144418 59.725720
188 4.524000 1.144006 60.342760
189 4.548000 1.143380 60.951360
190 4.572000 1.139587 61.392000
191 4.596000 1.137299 61.913640
192 4.620000 1.132129 62.277600
